source,source_id,name,address,city,neighborhood,lat,lon,clover_url,slug,category,google_rating,review_count,ordering_status,flags
awardhelper,BJEGJY0M3YYD1,UNIMART,"1201 Howard Street, San Francisco, CA",San Francisco,South of Market,37.7758064,-122.4114447,https://unimart-san-francisco.cloveronline.com,unimart-san-francisco,restaurants,,,,
awardhelper,2J4KYNHTGK7Q1,Union Square Pizza & Kit,"284 O'farrell Street, San Francisco, CA",San Francisco,Downtown / Union Square,37.7864728,-122.4096154,https://union-square-pizza-kit-san-francisco.cloveronline.com,union-square-pizza-kit-san-francisco,restaurants,,,,
awardhelper,TE4EPSMVFGG81,Urbancurry,"1298 Market St, San Francisco, CA",San Francisco,Civic Center,37.7778232,-122.4162764,https://sangamstar-food-inc-san-francisco.cloveronline.com,sangamstar-food-inc-san-francisco,restaurants,,,,
awardhelper,W264D24VE8D81,VAN NESS CAFE & GYROS,"826 Van Ness Avenue, San Francisco, CA",San Francisco,Tenderloin,37.7832227,-122.420555,https://van-ness-cafe-gyros-san-francisco.cloveronline.com,van-ness-cafe-gyros-san-francisco,restaurants,,,,
awardhelper,2D4GS2W7Q9516,Vcaicero Investment,"437a Grand Ave, S San Fran, CA",South San Francisco,South San Francisco,37.6557274,-122.4140885,https://antigua-coffee-shop-llc-ssf-s-san-fran.cloveronline.com,antigua-coffee-shop-llc-ssf-s-san-fran,restaurants,,,,
awardhelper,GTWHHQMCR8071,Vega Pizzeria,"419 Cortland Avenue, San Francisco, CA",San Francisco,Bernal Heights,37.7393334,-122.4174337,https://vega-san-francisco.cloveronline.com,vega-san-francisco,restaurants,,,,
awardhelper,8VQB7390XWDT1,XILOA CAFE,"7370 Mission Street, Daly City, CA",Daly City,Daly City,37.6904139,-122.4660709,https://cafe-xiloa-daly-city.cloveronline.com,cafe-xiloa-daly-city,restaurants,,,,awardhelper:possible-inactive
awardhelper,K4EYA9J8XKCJ1,YA-UA BOBA,"1090 Alameda De Las Pulg, Belmont, CA",Belmont,Belmont,37.5232226,-122.3019158,https://yaua-boba-belmont.cloveronline.com,yaua-boba-belmont,restaurants,,,,
awardhelper,CAC6VQ6AVF6Y1,Yarsa Nepalese Cuisine,"1310 Grant Avenue, San Francisco, CA",San Francisco,North Beach,37.7989929,-122.4070731,https://yarsa-nepalese-cuisine-san-francisco.cloveronline.com,yarsa-nepalese-cuisine-san-francisco,restaurants,,,,
awardhelper,4Y7J9J8C4BKK1,YEMEN CAFE & RESTAURANT,"13112 San Pablo Ave, Richmond, CA",Richmond,Richmond,37.950419,-122.3305865,https://yemen-cafe-restaurant.cloveronline.com,yemen-cafe-restaurant,restaurants,,,,
awardhelper,XNA33GSEWAD71,Yifang Taiwan Fruit Tea (Inner Sunset),"645 Irving Street, San Francisco, CA",San Francisco,Inner Sunset,37.764101,-122.464863,https://yifanginnersunset.cloveronline.com,yifanginnersunset,restaurants,,,,
awardhelper,QFH7KH6PJ7RV1,YiFang Taiwan Fruit Tea (Japantown),"1737 Post St # 367, San Francisco, CA",San Francisco,Japantown,37.785184,-122.4302384,https://yifangfruittea.cloveronline.com,yifangfruittea,restaurants,,,,awardhelper:possible-inactive
awardhelper,A58FH0NC4MYY1,Yonkers Cafe,"3815 Noriega Street, San Francisco, CA",San Francisco,Outer Sunset,37.7526443,-122.5048031,https://yonkers-cafe-sf.cloveronline.com,yonkers-cafe-sf,restaurants,,,,
awardhelper,QY1Y4V6NB8MZ6,Yoshi Ramen & Sushi,"127h Serramonte Ctr, Daly City, CA",Daly City,Daly City,37.6711957,-122.470444,https://yoshi-ramen-sushi-daly-city.cloveronline.com,yoshi-ramen-sushi-daly-city,restaurants,,,,awardhelper:possible-inactive
